customer_number,neighbor_avg_dist_km,neighbor_primary_group_count,neighbor_local_market_partners,neighbor_avg_return_freq,neighbor_avg_order_transactions_2023,neighbor_avg_order_transactions_2024,neighbor_avg_order_transaction_std_2023,neighbor_avg_order_transaction_std_2024,neighbor_avg_ordered_total_2023,neighbor_avg_ordered_total_2024
600080736,76.7948944753837,0,6,0,22.2,19.2,4.44388391266519,4.7912200488144,209.2,201.5
600080738,234.645846350533,0,10,0,13.6,11.8,10.8499160713191,12.8337311984858,290,367
600080739,180.871281824469,0,10,0,19.6,14.2,11.0056277475197,13.7583631873084,704.3,380.9
600080750,216.245508512634,0,10,0.2,17,15.4,12.6024066707206,14.3050052899698,411.55,405.55
600080755,54.6482359799945,0,8,0.2,29.2,27.4,6.7587211177434,5.45256014934619,298.6,308
600080758,76.7948944753837,0,6,0,22.2,19.2,4.44388391266519,4.7912200488144,209.2,201.5
600080766,118.472887493501,0,10,0,20.4,18,6.17032693807347,4.80917837266231,338.8,219.6
600080778,234.645846350533,0,10,0,13.6,11.8,10.8499160713191,12.8337311984858,290,367
600080782,71.668427133818,0,10,0,25,22.2,18.8197302473426,17.0407014232078,1074.25,887.7
600080784,234.645846350533,0,10,0,13.6,11.8,10.8499160713191,12.8337311984858,290,367
600080791,262.474791454664,0,8,0.1,25.8,28.8,6.06248490651624,5.79343028045967,301.2,324.95
600080796,88.3191809584595,0,10,0.1,14.6,18,14.9669460250617,15.9548394680882,254,382.1
600080799,55.5558599019619,0,8,0,24,20.2,42.8340589792331,8.7154960643812,1208.9,717.3
600080802,80.264245263749,0,8,0,25.4,29.2,9.26325334441445,9.5798752505598,634.7,730.2
600080804,215.092502543381,0,8,0.1,52.8,34.2,34.2508406944503,40.2274277941562,7801.5,2392.4
600080820,234.645846350533,0,10,0,13.6,11.8,10.8499160713191,12.8337311984858,290,367
600080824,74.776619090989,0,6,0,28.2,30.2,7.25534597412576,5.72028627620632,608.4000056,557.05
600080831,215.092502543381,0,8,0.1,52.8,34.2,34.2508406944503,40.2274277941562,7801.5,2392.4
600080832,62.1700586717051,0,10,0,29.6,26,6.04061653397133,5.53490936471596,466.9,447.9
600080833,215.092502543381,0,8,0.1,52.8,34.2,34.2508406944503,40.2274277941562,7801.5,2392.4
600080834,118.472887493501,0,10,0,20.4,18,6.17032693807347,4.80917837266231,338.8,219.6
600080842,71.668427133818,0,10,0,25,22.2,18.8197302473426,17.0407014232078,1074.25,887.7
600080843,192.924732467895,0,8,0.1,27.2,23.8,7.6268973401222,6.90255238409744,366.6056044,486.0579392
600080845,181.068811428764,0,10,0.1,25.8,23.6,6.25468992620913,7.15295542942774,437.2,411.7
600080849,79.6544012183555,0,10,0,8.4,9,5.61114025824833,3.96178133923633,115.8,120.6
600080851,262.474791454664,0,8,0.1,25.8,28.8,6.06248490651624,5.79343028045967,301.2,324.95
600080853,117.16373904096,0,10,0,18.4,15.8,50.1513860744063,65.1215459116812,1134,869.7
600080855,300.314409454161,0,8,0.1,29.6,31.4,9.98093436879946,11.4592912864251,615.7056044,762.5579392
600080858,192.924732467895,0,8,0.1,27.2,23.8,7.6268973401222,6.90255238409744,366.6056044,486.0579392
600080863,292.737644070708,0,10,0,23.6,20,5.30512026424625,4.80887334117614,340.9,284.8
600080865,118.472887493501,0,10,0,20.4,18,6.17032693807347,4.80917837266231,338.8,219.6
600080874,74.776619090989,0,6,0,28.2,30.2,7.25534597412576,5.72028627620632,608.4000056,557.05
600080879,79.6544012183555,0,10,0,8.4,9,5.61114025824833,3.96178133923633,115.8,120.6
600080882,55.5558599019619,0,8,0,24,20.2,42.8340589792331,8.7154960643812,1208.9,717.3
600080883,88.3191809584595,0,10,0.1,14.6,18,14.9669460250617,15.9548394680882,254,382.1
600080885,71.668427133818,0,10,0,25,22.2,18.8197302473426,17.0407014232078,1074.25,887.7
600080887,262.474791454664,0,8,0.1,25.8,28.8,6.06248490651624,5.79343028045967,301.2,324.95
600080890,74.776619090989,0,6,0,28.2,30.2,7.25534597412576,5.72028627620632,608.4000056,557.05
600080891,118.472887493501,0,10,0,20.4,18,6.17032693807347,4.80917837266231,338.8,219.6
600080898,215.092502543381,0,8,0.1,52.8,34.2,34.2508406944503,40.2274277941562,7801.5,2392.4
600080908,181.068811428764,0,10,0.1,25.8,23.6,6.25468992620913,7.15295542942774,437.2,411.7
600080910,129.652498358815,2,10,0,24.6,25.8,8.50068401724348,9.13455400346329,678,593.2
600080913,76.7948944753837,0,6,0,22.2,19.2,4.44388391266519,4.7912200488144,209.2,201.5
600080919,180.560291448471,0,8,0.1,20,15.6,8.13715859658844,7.9483446652496,540.9,457.3
600080934,169.351941713786,0,6,0.6,38.6,27.8,12.2272392417435,17.3142286211995,3381.3,1705.4
600080936,169.351941713786,0,6,0.6,38.6,27.8,12.2272392417435,17.3142286211995,3381.3,1705.4
600080939,215.092502543381,0,8,0.1,52.8,34.2,34.2508406944503,40.2274277941562,7801.5,2392.4
600080942,88.3191809584595,0,10,0.1,14.6,18,14.9669460250617,15.9548394680882,254,382.1
600080943,44.0681671869647,0,8,0.1,28.8,25.4,6.26273417726727,6.70159388505543,360.4,335.5
600080949,302.323906980792,0,10,0.1,29.2,19.4,6.76964707480774,8.06373914001486,391,298.8
600080959,234.645846350533,0,10,0,13.6,11.8,10.8499160713191,12.8337311984858,290,367
600080960,234.645846350533,0,10,0,13.6,11.8,10.8499160713191,12.8337311984858,290,367
600080985,234.645846350533,0,10,0,13.6,11.8,10.8499160713191,12.8337311984858,290,367
600080987,71.668427133818,0,10,0,25,22.2,18.8197302473426,17.0407014232078,1074.25,887.7
600081001,55.5558599019619,0,8,0,24,20.2,42.8340589792331,8.7154960643812,1208.9,717.3
600081009,292.737644070708,0,10,0,23.6,20,5.30512026424625,4.80887334117614,340.9,284.8
600081012,118.472887493501,0,10,0,20.4,18,6.17032693807347,4.80917837266231,338.8,219.6
600081013,98.4424511545265,0,10,0,12.6,10.2,6.11510241730076,8.85766570851393,257.6,217.2
600081020,74.776619090989,0,6,0,28.2,30.2,7.25534597412576,5.72028627620632,608.4000056,557.05
600081022,88.3191809584595,0,10,0.1,14.6,18,14.9669460250617,15.9548394680882,254,382.1
600081035,234.645846350533,0,10,0,13.6,11.8,10.8499160713191,12.8337311984858,290,367
600081036,98.1097978508075,0,4,0,27.4,24.2,47.6331448595574,41.6787058654581,5260.6910464,4380.546532
600081041,234.645846350533,0,10,0,13.6,11.8,10.8499160713191,12.8337311984858,290,367
600081043,234.645846350533,0,10,0,13.6,11.8,10.8499160713191,12.8337311984858,290,367
600081045,55.5558599019619,0,8,0,24,20.2,42.8340589792331,8.7154960643812,1208.9,717.3
600081046,292.737644070708,0,10,0,23.6,20,5.30512026424625,4.80887334117614,340.9,284.8
600081047,129.652498358815,0,10,0,24.6,25.8,8.50068401724348,9.13455400346329,678,593.2
600081050,292.737644070708,0,10,0,23.6,20,5.30512026424625,4.80887334117614,340.9,284.8
600081051,118.472887493501,0,10,0,20.4,18,6.17032693807347,4.80917837266231,338.8,219.6
600081054,118.472887493501,0,10,0,20.4,18,6.17032693807347,4.80917837266231,338.8,219.6
600081056,118.472887493501,0,10,0,20.4,18,6.17032693807347,4.80917837266231,338.8,219.6
600081057,118.472887493501,0,10,0,20.4,18,6.17032693807347,4.80917837266231,338.8,219.6
600081058,118.472887493501,0,10,0,20.4,18,6.17032693807347,4.80917837266231,338.8,219.6
600081059,118.472887493501,0,5,0,20.4,18,6.17032693807347,4.80917837266231,338.8,219.6
600081060,118.472887493501,0,10,0,20.4,18,6.17032693807347,4.80917837266231,338.8,219.6
600081061,118.472887493501,0,10,0,20.4,18,6.17032693807347,4.80917837266231,338.8,219.6
600081070,216.245508512634,0,10,0.2,17,15.4,12.6024066707206,14.3050052899698,411.55,405.55
600081076,55.5558599019619,0,8,0,24,20.2,42.8340589792331,8.7154960643812,1208.9,717.3
600081079,262.474791454664,0,8,0.1,25.8,28.8,6.06248490651624,5.79343028045967,301.2,324.95
600081083,262.474791454664,0,8,0.1,25.8,28.8,6.06248490651624,5.79343028045967,301.2,324.95
600081085,56.0716444619164,0,8,0.1,27.4,25.2,6.38054429086113,7.6283561331604,478.3760706,476.7799442
600081088,56.0716444619164,0,8,0.1,27.4,25.2,6.38054429086113,7.6283561331604,478.3760706,476.7799442
600081091,71.668427133818,0,10,0,25,22.2,18.8197302473426,17.0407014232078,1074.25,887.7
